,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
20,30.24298710823059,3.443849566479741,3.6437902212142945,1.2203437491287752,0.001,100,"{'C': 0.001, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
19,26.88438014984131,4.764056577886588,2.977105236053467,0.8974688246616116,0.001,10,"{'C': 0.001, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
23,32.13204340934753,5.488000692784756,4.358851051330566,0.7892542760761244,0.01,0.001,"{'C': 0.01, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
31,26.562304782867432,6.656189256482911,3.8220691204071047,1.1981536734898202,0.01,100,"{'C': 0.01, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
21,25.652275586128233,6.554358481376449,3.2437862396240233,0.8993886344340958,0.001,1000,"{'C': 0.001, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
22,33.89568300247193,4.822758248510062,4.389152598381043,1.0610179032378182,0.01,0.0001,"{'C': 0.01, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
106,25.798248410224915,6.089847419292376,3.5006614208221434,1.0562148637217412,100,3,"{'C': 100, 'gamma': 3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
94,29.163026809692383,4.210479140236473,3.9400199174880983,0.7584957943532339,10,1,"{'C': 10, 'gamma': 1}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
95,26.062806844711304,5.475745635603755,2.8403729677200316,1.3538208794405695,10,3,"{'C': 10, 'gamma': 3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
93,24.776936507225038,8.195908505801397,3.0488486528396606,1.2790063115826398,10,0.3,"{'C': 10, 'gamma': 0.3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
97,25.176938676834105,6.03111636680976,3.668062520027161,0.8463074839906619,10,100,"{'C': 10, 'gamma': 100}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
98,22.59435157775879,7.9553221021591085,2.728343057632446,0.8917504270688391,10,1000,"{'C': 10, 'gamma': 1000}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
101,24.793699765205382,7.949860219689412,3.2251075506210327,1.4775966599293013,100,0.01,"{'C': 100, 'gamma': 0.01}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
102,29.91208243370056,1.7622759687607192,3.7423763275146484,0.7698098432794062,100,0.03,"{'C': 100, 'gamma': 0.03}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
103,21.33965368270874,7.249981906195644,2.570391130447388,1.078271599200445,100,0.1,"{'C': 100, 'gamma': 0.1}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
104,28.185540866851806,4.561019397245152,3.3709864377975465,0.624217143810304,100,0.3,"{'C': 100, 'gamma': 0.3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
105,24.68951072692871,5.8171977831885915,3.4174720287322997,1.0823451047466106,100,1,"{'C': 100, 'gamma': 1}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
96,22.54253282546997,6.400087489914028,2.908975052833557,1.1010083261648824,10,10,"{'C': 10, 'gamma': 10}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
114,23.936469531059267,4.667596275218371,1.867645001411438,0.5729270328130488,1000,0.1,"{'C': 1000, 'gamma': 0.1}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
107,22.123087096214295,6.685291906818174,2.68746018409729,0.7571688413991126,100,10,"{'C': 100, 'gamma': 10}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
108,26.45846583843231,5.936486141675175,3.610945796966553,1.3251980041684628,100,100,"{'C': 100, 'gamma': 100}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
109,25.211436796188355,6.076298816294006,2.7444597482681274,0.8975828885263538,100,1000,"{'C': 100, 'gamma': 1000}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
