CVE,num_of_author,baseSeverity,baseScore
CVE-2023-1498,14,CRITICAL,9.8
CVE-2022-22512,14,CRITICAL,9.8
CVE-2023-0877,14,HIGH,8.8
CVE-2021-4330,14,HIGH,8.8
CVE-2023-0879,14,MEDIUM,5.4
CVE-2021-4333,14,MEDIUM,6.5
CVE-2022-45153,14,HIGH,7.8
CVE-2022-25735,14,HIGH,7.5
CVE-2023-24726,14,CRITICAL,9.8
CVE-2023-1499,14,CRITICAL,9.8
CVE-2021-38239,14,HIGH,7.5
CVE-2015-10095,14,MEDIUM,6.1
CVE-2023-0988,14,HIGH,8.8
CVE-2023-0986,14,CRITICAL,9.8
CVE-2023-1592,14,CRITICAL,9.8
CVE-2023-0743,14,CRITICAL,9.0
CVE-2023-20859,14,MEDIUM,5.5
CVE-2022-25729,14,CRITICAL,9.8
CVE-2023-1560,14,MEDIUM,5.5
CVE-2023-24815,14,MEDIUM,5.3
CVE-2015-10074,14,MEDIUM,6.1
CVE-2023-1029,14,MEDIUM,4.3
CVE-2023-0734,14,MEDIUM,5.3
CVE-2021-37492,14,HIGH,7.5
CVE-2022-34909,13,CRITICAL,9.1
CVE-2023-0050,13,MEDIUM,5.4
CVE-2023-22855,13,CRITICAL,9.8
CVE-2022-21163,13,HIGH,7.8
CVE-2023-0003,13,MEDIUM,6.5
CVE-2022-48342,13,CRITICAL,9.8
CVE-2023-1149,13,MEDIUM,5.4
CVE-2023-1039,13,HIGH,8.8
CVE-2023-0927,13,HIGH,8.8
CVE-2023-1564,13,CRITICAL,9.8
CVE-2023-25358,13,CRITICAL,9.8
CVE-2023-23836,13,HIGH,7.2
CVE-2023-1040,13,CRITICAL,9.8
CVE-2023-25363,13,CRITICAL,9.8
CVE-2022-37969,13,HIGH,7.8
CVE-2023-1116,13,MEDIUM,5.4
CVE-2020-0796,13,CRITICAL,10.0
CVE-2022-34415,13,MEDIUM,6.7
CVE-2023-0931,13,HIGH,8.8
CVE-2023-26088,13,HIGH,7.8
CVE-2022-36804,13,HIGH,8.8
CVE-2023-26074,13,CRITICAL,9.8
CVE-2023-27781,13,HIGH,7.8
CVE-2023-26544,13,HIGH,7.8
CVE-2023-27537,13,,
CVE-2023-0904,13,HIGH,8.8
CVE-2023-0905,13,HIGH,7.5
CVE-2023-1034,13,HIGH,8.8
CVE-2023-0903,13,HIGH,8.8
CVE-2023-0882,13,HIGH,8.8
CVE-2023-1028,13,MEDIUM,4.3
CVE-2022-48363,13,HIGH,7.5
CVE-2023-1578,13,HIGH,8.8
CVE-2022-43761,13,HIGH,7.5
CVE-2022-48423,13,HIGH,7.8
CVE-2023-0878,13,MEDIUM,6.1
CVE-2023-1024,13,MEDIUM,4.3
CVE-2023-1046,13,HIGH,8.8
CVE-2023-23524,13,HIGH,7.5
CVE-2023-25621,13,MEDIUM,6.5
CVE-2023-0916,13,HIGH,8.8
CVE-2023-25805,13,CRITICAL,9.8
CVE-2023-0845,13,MEDIUM,6.5
CVE-2023-1051,13,MEDIUM,6.1
CVE-2023-1010,13,MEDIUM,5.5
CVE-2022-34413,13,MEDIUM,6.7
CVE-2022-33254,13,HIGH,7.5
CVE-2023-26110,13,CRITICAL,9.8
CVE-2023-0771,13,HIGH,8.8
CVE-2023-0322,13,MEDIUM,6.1
CVE-2023-26314,13,HIGH,8.8
CVE-2023-1063,13,HIGH,8.8
CVE-2022-34406,13,MEDIUM,6.7
CVE-2022-34407,13,MEDIUM,6.7
CVE-2023-0980,13,CRITICAL,9.8
CVE-2019-25104,13,HIGH,7.5
CVE-2022-34408,13,MEDIUM,6.7
CVE-2023-0981,13,CRITICAL,9.8
CVE-2023-26261,13,CRITICAL,9.8
CVE-2022-34409,13,MEDIUM,6.7
CVE-2023-0982,13,CRITICAL,9.8
CVE-2022-34410,13,MEDIUM,6.7
CVE-2022-34411,13,MEDIUM,6.7
CVE-2022-34412,13,MEDIUM,6.7
CVE-2023-28685,13,HIGH,7.1
CVE-2023-0746,13,MEDIUM,6.1
CVE-2023-26209,13,MEDIUM,5.3
CVE-2023-0774,13,CRITICAL,9.8
CVE-2023-27638,13,CRITICAL,9.8
CVE-2023-0934,13,MEDIUM,5.4
CVE-2023-25557,13,CRITICAL,9.1
CVE-2023-26113,13,HIGH,7.5
CVE-2023-0127,13,HIGH,7.8
CVE-2023-1594,13,CRITICAL,9.8
CVE-2023-26105,13,HIGH,7.5
CVE-2023-25828,13,HIGH,7.2
CVE-2023-0819,13,HIGH,7.8
CVE-2022-34414,13,MEDIUM,6.7
CVE-2023-26606,13,HIGH,7.8
CVE-2008-10002,13,MEDIUM,6.1
CVE-2023-25695,13,MEDIUM,5.3
CVE-2022-21216,13,MEDIUM,6.8
CVE-2023-0785,13,MEDIUM,5.3
CVE-2023-0784,13,CRITICAL,9.8
CVE-2023-28609,13,CRITICAL,9.8
CVE-2023-23695,13,MEDIUM,5.9
CVE-2023-0777,13,CRITICAL,9.8
CVE-2022-38217,13,,
CVE-2023-1080,13,MEDIUM,6.1
CVE-2023-23009,13,MEDIUM,6.5
CVE-2023-1593,13,MEDIUM,6.1
CVE-2023-1072,13,MEDIUM,5.3
CVE-2023-27978,13,HIGH,7.8
CVE-2023-1542,13,MEDIUM,5.4
CVE-2022-32474,13,HIGH,7.0
CVE-2023-1358,13,CRITICAL,9.8
CVE-2021-33926,13,HIGH,8.8
CVE-2021-33391,13,CRITICAL,9.8
CVE-2014-8361,13,,
CVE-2023-27034,13,CRITICAL,9.8
CVE-2022-41785,13,MEDIUM,5.4
CVE-2022-4462,13,MEDIUM,4.3
