,CVE,num_of_author,baseSeverity,baseScore,flag_CR,flag_H
375,CVE-2016-15030,15,MEDIUM,6.1,0,0
376,CVE-2023-1211,15,HIGH,7.2,0,1
377,CVE-2021-46875,15,MEDIUM,6.1,0,0
378,CVE-2023-24573,15,HIGH,7.1,0,1
379,CVE-2022-32476,15,HIGH,7.0,0,1
380,CVE-2023-1535,15,MEDIUM,5.4,0,0
381,CVE-2020-36656,15,MEDIUM,5.4,0,0
382,CVE-2016-15025,15,MEDIUM,6.1,0,0
383,CVE-2023-1534,14,HIGH,8.8,0,1
384,CVE-2023-27871,14,HIGH,7.5,0,1
385,CVE-2023-0461,14,HIGH,7.8,0,1
386,CVE-2021-31573,14,CRITICAL,9.8,1,1
387,CVE-2021-32845,14,HIGH,7.8,0,1
388,CVE-2022-33250,14,HIGH,7.5,0,1
389,CVE-2023-27483,14,HIGH,7.5,0,1
390,CVE-2023-0361,14,HIGH,7.5,0,1
391,CVE-2022-43461,14,MEDIUM,5.4,0,0
392,CVE-2023-23039,14,MEDIUM,5.7,0,0
393,CVE-2023-1312,14,MEDIUM,4.8,0,0
394,CVE-2022-40676,14,MEDIUM,5.4,0,0
395,CVE-2021-32843,14,MEDIUM,5.5,0,0
396,CVE-2022-33245,14,HIGH,7.8,0,1
397,CVE-2023-1050,14,CRITICAL,9.8,1,1
398,CVE-2021-33396,14,MEDIUM,6.5,0,0
399,CVE-2023-24367,14,MEDIUM,6.1,0,0
400,CVE-2022-34416,14,MEDIUM,6.7,0,0
401,CVE-2022-38745,14,HIGH,7.8,0,1
402,CVE-2023-1035,14,HIGH,8.8,0,1
403,CVE-2023-1558,14,CRITICAL,9.8,1,1
404,CVE-2022-34419,14,MEDIUM,6.7,0,0
405,CVE-2022-34418,14,MEDIUM,6.7,0,0
406,CVE-2023-1370,14,HIGH,7.5,0,1
407,CVE-2019-17003,14,MEDIUM,6.1,0,0
408,CVE-2021-33104,14,MEDIUM,5.5,0,0
409,CVE-2021-32844,14,MEDIUM,5.5,0,0
410,CVE-2022-44574,14,HIGH,7.5,0,1
411,CVE-2022-34417,14,MEDIUM,6.7,0,0
412,CVE-2023-1557,14,CRITICAL,9.8,1,1
413,CVE-2023-26213,14,HIGH,7.2,0,1
414,CVE-2023-1293,14,CRITICAL,9.8,1,1
415,CVE-2023-26545,14,HIGH,7.8,0,1
416,CVE-2021-0187,14,MEDIUM,6.7,0,0
417,CVE-2023-1081,14,MEDIUM,4.8,0,0
418,CVE-2022-42485,14,MEDIUM,5.4,0,0
419,CVE-2021-32163,14,CRITICAL,9.8,1,1
420,CVE-2023-1170,14,MEDIUM,6.6,0,0
421,CVE-2023-22704,14,MEDIUM,6.1,0,0
422,CVE-2020-22647,14,CRITICAL,9.1,1,1
423,CVE-2018-25081,14,HIGH,7.5,0,1
424,CVE-2023-28486,14,MEDIUM,5.3,0,0
425,CVE-2023-25613,14,CRITICAL,9.8,1,1
426,CVE-2023-1304,14,HIGH,8.8,0,1
427,CVE-2023-1616,14,MEDIUM,5.4,0,0
